Brand/Brewer (Country),Perc Alcohol
Anchor Porter Anchor (USA),5.66
Anchor Steam Beer Anchor (USA),4.63
Asahi Draft Beer Asahi (Japan),5.21
Ballantine Prlvate Stock Malt Liquor Narragansett (USA),6.01
Ballantine Indla Pale Ale Falstaff (USA),6.17
Ballantine Premium Lager Beer Falstaff (USA),4.82
Ballantine XXX Ale Falstaff (USA),5.08
Bass & Co's Bale Ale Bass (England),5.51
Beamish Irish Cream Stout Beamish - Crawford (Ireland),4.95
Beck's Beer Brauerei Beck (Germany),5.13
Big Barrel Australian Lager Cooper & Sons (Australia),4.66
Black Horse Premium Draft Beer Black Horse (USA),4.74
Blatz Beer G. Heileman (USA),4.86
Blatz Milwaukee 1851 Beer Blatz (USA),4.48
Boulder Porter Boulder (USA),6.07
Budwelser King of Beers Anheuser Busch (USA),4.82
Busch Beer Anheuser Busch (USA),5.19
Carling Black Label Canadian Style Beer G. Heileman (USA),4.38
Cerveza Carta Blanca Cerveceria Cauhtemoc (Mexlco),4.02
Cerveza Tecate Beer Cervecerla Cauhtemoc (Mexico),4.49
Chester Golden A]e Greenall Whitley (England),5.43
Colt 45 Malt Liquor G. Heileman (USA),6.11
Coors Banquet Beer Adolph Coors (USA),5.03
Corona Extra Beer Cereveria Modela SA (Mexico),4.84
Dos Equis XX Imported Beer Cauhtemoc (Mexico),4.79
Dos Equis XX Special Lager Cerveceria Montezuma (Mexico),4.96
Dragon Stout Desnoes - Goeddes (Jamaica),6.79
Foster's Lager Garlton & United (Australia),5.25
Furstenberg German Beer Fustlich Ferstenbergische,4.43
Genesee 12 Horse Ale Genesee (USA),4.98
Genesee Beer Genesee (USA),5.03
Genesee Cream Ale Genesee (USA),4.7
George Killian's Irish Red Ale Adolph Coors (USA),5.79
George Killian's Irish Red Brand Beer Adolph Coors (USA),5.54
Great Wall Imported Chinese Beer Green Bamboo (China),4.63
Greenall's Cheshire English Pub Beer Grecnall Whitley PLC (England),5
Grizzly Canadian Lager Hamilton (Canada),5.4
Grolsch Lager Beer Grolsch Bierbrouweri (Holland),5.17
Guinness Extra Stout Gulnness (Ireland),4.27
Harfenrefrer Private Stock Malt Llquor Narragansett (USA),6.87
Hamm's Beer Pabst (USA),4.53
Harp (mported Lager Beer Harp (Ireland),4.55
Heineken Lager Beer Heineken (Holland),5.41
Heineken Special Dark Beer Heineken (Holland),5.17
Hofenperle Special Feldschlosschen Bier (Switzerland),5.28
Kaiserdom Rauchbier-Smoked Bavarlan Dark Beer,5.88
Kirin Beer Kirin (Japan),6.85
Knickerbocker Natural Beer Ruppert (USA),4.16
Kronenbourg Beer Kronenbourg (France),5.11
Kronenbourg Imported Dark Beer Kronenbourg (France),5.08
Kuppers Kolsch Kuppers (Germany),5.38
LA Anheuser Busch Premlum Pilsner Beer Anheuser Busch (USA),2.29
Labatt's 50 Canadian Ale,5.34
Liberty Ale Anchor (USA),6.12
Lord Chesterfield Ale D.G. Yuengling & Son (USA),5.57
Lowenbrau Dark Special Beer Miller (USA),5
